cluster_id	questions	answers
cluster-3557	norway' highest elevation?	https://en.wikipedia.org/wiki/galdh%c3%b8piggen
cluster-1353	what movies did keanu reeves and sandra bullock appear in together?	https://en.wikipedia.org/wiki/speed_(1994_film)
cluster-1846	who is emma waston brother?	alex watson
cluster-2033	anthony hopkins portrayed which us president in film?	https://en.wikipedia.org/wiki/richard_nixon
cluster-2479	what language do they speak in namibia?	https://en.wikipedia.org/wiki/english_language
cluster-788	what did james buchanan do for living?	https://en.wikipedia.org/wiki/president_of_the_united_states
cluster-3699	what are the six largest cities in georgia?	https://en.wikipedia.org/wiki/athens,_georgia
	what language do they speak in windhoek namibia?	https://en.wikipedia.org/wiki/macon,_georgia
		https://en.wikipedia.org/wiki/columbus,_georgia
		https://en.wikipedia.org/wiki/savannah,_georgia
		https://en.wikipedia.org/wiki/atlanta,_georgia
		https://en.wikipedia.org/wiki/augusta,_georgia
cluster-1492	what is the zip code for san francisco ca?	94105
	what zip code does san francisco have?	94104
		94103
		94102
		94109
		94108
		94107
		94111
		94110
cluster-1116	who was president of india in 1949?	https://en.wikipedia.org/wiki/rajendra_prasad
cluster-1590	when was david blane born?	1973-04-04
cluster-3410	who invented the gas-powered automobile?	https://en.wikipedia.org/wiki/karl_benz
cluster-680	main spoken language in wales?	https://en.wikipedia.org/wiki/welsh_language
cluster-2659	when year did frank sinatra marry ava gardner?	1951
cluster-1190	when did india win its first cricket world cup?	1983-06-25
cluster-189	when was kate middlten born?	1982-01-09
cluster-3456	who was the city of detroit named after?	https://en.wikipedia.org/wiki/history_of_detroit
cluster-2568	name of movie kathy bates and james con?	https://en.wikipedia.org/wiki/dick_tracy_(1990_film)
		https://en.wikipedia.org/wiki/misery_(film)
cluster-3125	who was clara shumann's husband?	https://en.wikipedia.org/wiki/robert_schumann
cluster-3689	which counties make up the emirates?	https://en.wikipedia.org/wiki/emirate_of_abu_dhabi
		https://en.wikipedia.org/wiki/emirate_of_ajman
		https://en.wikipedia.org/wiki/emirate_of_dubai
		https://en.wikipedia.org/wiki/fujairah
		https://en.wikipedia.org/wiki/ras_al_khaimah
		https://en.wikipedia.org/wiki/emirate_of_sharjah
		https://en.wikipedia.org/wiki/umm_al_quwain
cluster-3791	which city is 2nd biggest in france?	https://en.wikipedia.org/wiki/marseille
cluster-1466	what position does jonny wilkinson play?	fly-half
cluster-3416	when did don meredith play for dallas?	1960
		1968
cluster-3211	what is the name of leonardo dicaprio and kate winslet's new movie?	https://en.wikipedia.org/wiki/revolutionary_road_(film)
cluster-1740	where does france rank in the largest country in europe?	3
		https://en.wikipedia.org/wiki/russia
		https://en.wikipedia.org/wiki/france
cluster-2522	who was us first secretary?	https://en.wikipedia.org/wiki/john_jay
cluster-1422	what forms the eastern border of iowa?	https://en.wikipedia.org/wiki/mississippi_river
cluster-2992	what is the number of georgia state senators?	https://en.wikipedia.org/wiki/georgia_state_senate
cluster-2302	the day when selena perez got married?	1992-04-02
cluster-1779	what is the name of humphry davy wife?	https://en.wikipedia.org/wiki/jane_davy
cluster-2073	what kind of discoveries did lewis and clark discover?	https://en.wikipedia.org/wiki/lewis_and_clark_expedition
cluster-2982	who is johnny depps favourite artist?	https://en.wikipedia.org/wiki/johnny_depp
cluster-1641	what is the name of the american naval leader during world war 2?	https://en.wikipedia.org/wiki/ernest_king
cluster-901	what is the 2nd highest mountain in england?	https://en.wikipedia.org/wiki/sca_fell
cluster-733	what city has the largest land in the us?	https://en.wikipedia.org/wiki/anchorage,_alaska
cluster-1595	what are all the movies leonardo dicaprio and kate winslet have been in together?	https://en.wikipedia.org/wiki/titanic_(1997_film)
	what is the biggest city in the entire us?	https://en.wikipedia.org/wiki/revolutionary_road_(film)
cluster-3914	what california state mammal?	https://en.wikipedia.org/wiki/gray_whale
cluster-1376	when did clarke gable die?	1960-11-16
cluster-2	what city is the highest point in in georgia?	https://en.wikipedia.org/wiki/brasstown_bald
cluster-2688	who is india' prime minister?	https://en.wikipedia.org/wiki/narendra_modi
cluster-2152	when did frederick douglass mom die?	1825
cluster-1833	what was another title of the song by stephen foster?	https://en.wikipedia.org/wiki/my_old_kentucky_home
cluster-1419	what is victoria justice's college school?	https://en.wikipedia.org/wiki/cleveland_high_school_(los_angeles)
cluster-1540	what is south african zip code if you are in east london?	5200
cluster-59	what year did ella fitzgerald adopt a child?	1951
cluster-495	when did lil wayne first start singing?	1996
cluster-738	what is the largest island in the mediterranean sardinia capri sicily?	https://en.wikipedia.org/wiki/sicily
cluster-1315	what year did hannah mpontana come out?	2006
cluster-1975	what year was the song mamma mia published?	1975
cluster-3033	what was the population of the us on july 1 1945?	139,928,165
cluster-127	what country has the highest population in 2008?	https://en.wikipedia.org/wiki/china
cluster-717	he played will scarlett in robin hood prince of thieves?	https://en.wikipedia.org/wiki/christian_slater
cluster-1968	what school is ryan butler in?	https://en.wikipedia.org/wiki/washington_college_of_law
cluster-3181	who led the mexican armey at the battle of puebla?	https://en.wikipedia.org/wiki/benito_juárez
cluster-2949	where are some pictures of wylie draper?	
cluster-1546	who was governor of north carolina in 1700-1800?	https://en.wikipedia.org/wiki/william_richardson_davie
		https://en.wikipedia.org/wiki/thomas_burke_(north_carolina)
		https://en.wikipedia.org/wiki/alexander_martin
		https://en.wikipedia.org/wiki/samuel_ashe_(north_carolina)
		https://en.wikipedia.org/wiki/samuel_johnston
		https://en.wikipedia.org/wiki/abner_nash
		https://en.wikipedia.org/wiki/richard_dobbs_spaight
		https://en.wikipedia.org/wiki/richard_caswell
cluster-2401	who connecticut's first governor's name?	https://en.wikipedia.org/wiki/john_haynes_(governor)
cluster-2070	who was the leader of north vietnam during the vietnam war?	https://en.wikipedia.org/wiki/ho_chi_minh
cluster-2662	what did carl sandburg die of?	https://en.wikipedia.org/wiki/death_by_natural_causes
cluster-551	when does saint anastasia feast day?	xxxx-12-22
	when is saint anastasia's feast day?	xxxx-12-25
cluster-2173	where was luis suarez before liverpool in 2008?	https://en.wikipedia.org/wiki/afc_ajax
cluster-574	what did jackie jackson ex wife died of?	https://en.wikipedia.org/wiki/aneurysm
cluster-3552	where country has least people?	https://en.wikipedia.org/wiki/vatican_city
cluster-1005	when did chris benoit die?	2007-06-24
cluster-77	what sea separates europe from africa?	https://en.wikipedia.org/wiki/strait_of_gibraltar
cluster-1166	what is the longest river in the world and where does it flow through?	https://en.wikipedia.org/wiki/nile
cluster-1809	what age is justin biebers dad and mam?	https://en.wikipedia.org/wiki/pattie_mallette
cluster-2605	st johns university mascot history?	https://en.wikipedia.org/wiki/st._john's_red_storm
cluster-3564	what country was samuel barber born in?	https://en.wikipedia.org/wiki/united_states
cluster-541	where did elvis lived before he died?	https://en.wikipedia.org/wiki/graceland
cluster-1158	georgia number of state senators?	56
cluster-1596	five cities and towns in canada?	https://en.wikipedia.org/wiki/ottawa
		https://en.wikipedia.org/wiki/winnipeg
cluster-3021	who was anne schraff married to?	
cluster-3290	first u2 album to be released on cd?	https://en.wikipedia.org/wiki/the_joshua_tree
cluster-3896	what is the sea south of south korea?	https://en.wikipedia.org/wiki/yellow_sea
		https://en.wikipedia.org/wiki/east_china_sea
cluster-414	what are washington five largest cities?	https://en.wikipedia.org/wiki/spokane,_washington
	what are the five largest cities in washington?	https://en.wikipedia.org/wiki/seattle
		https://en.wikipedia.org/wiki/tacoma,_washington
cluster-3060	what collage team did bo jackson go to?	https://en.wikipedia.org/wiki/auburn_university
cluster-3518	which building is a memorial to the third president of the us?	https://en.wikipedia.org/wiki/jefferson_memorial
cluster-1553	what state was the first skyscraper built in the year 1885?	https://en.wikipedia.org/wiki/chicago
cluster-3913	what tragic weather event happened in 1983?	https://en.wikipedia.org/wiki/hurricane_alicia
cluster-393	what did david allan coe die of?	
cluster-2472	who is jon roberts?	https://en.wikipedia.org/wiki/jon_roberts
cluster-3903	who is paul rodriguez jr dating?	rainbow alexander
cluster-3286	what is john f kennedy's full name and his wife's full name?	https://en.wikipedia.org/wiki/jacqueline_kennedy_onassis
		https://en.wikipedia.org/wiki/john_f._kennedy
cluster-1287	what city is louisianna state university in?	https://en.wikipedia.org/wiki/baton_rouge,_louisiana
cluster-3624	where did mary shelley write frankestein?	https://en.wikipedia.org/wiki/geneva
cluster-2007	when was louis xvi executed?	1793-01-21
cluster-1850	what nationality are peter andre's parents?	https://en.wikipedia.org/wiki/england
cluster-2572	what is the state or province of dublin?	https://en.wikipedia.org/wiki/leinster
cluster-3517	when did hitler capture holland?	1940-05-14
cluster-3696	what did sebastian vizcaino die of?	
cluster-2094	what city hosted the 1998 winter olympics?	https://en.wikipedia.org/wiki/nagano,_nagano
cluster-3775	who made the us first flag?	https://en.wikipedia.org/wiki/betsy_ross
cluster-515	name of the president of botswana?	https://en.wikipedia.org/wiki/ian_khama
cluster-3641	trenton is the capital of what?	https://en.wikipedia.org/wiki/new_jersey
cluster-3014	when did david pezlers mother die?	1992
cluster-3802	what time did yolanda king die?	2007-05-15
cluster-317	what is jarome iginla wifes name?	kara iginla
cluster-2623	when did lisa chapman have her baby?	2002-06-11
cluster-885	what is the 2nd highest mountain in sussex?	https://en.wikipedia.org/wiki/littleton_down
cluster-741	what was the world's third largest religion in 2007?	https://en.wikipedia.org/wiki/irreligion
cluster-1018	what instrument does antonio vivaldi play?	https://en.wikipedia.org/wiki/violin
cluster-3606	who is india's first women governor?	https://en.wikipedia.org/wiki/sarojini_naidu
cluster-3335	which river flows through much of brazil?	https://en.wikipedia.org/wiki/amazon_river
cluster-1410	what are shaquille oneal's kids name?	shareef
	what are shaquille oneal's children names?	me'arah
	what instrument did antonio vivaldi perform?	shaqir
	what instrument or instruments did antonio vivaldi play?	amirah
cluster-3331	when did leaf erikson die?	1020
cluster-1989	what is the dominant religion in iraq?	https://en.wikipedia.org/wiki/islam
cluster-3747	what is the name of the longest river in north america that runs through alaska?	https://en.wikipedia.org/wiki/yukon_river
cluster-3204	who is nicki minaj current boyfriend?	https://en.wikipedia.org/wiki/meek_mill
cluster-3406	who was the first female prime minister in australia?	https://en.wikipedia.org/wiki/julia_gillard
cluster-177	what is katy perry's first song she made?	https://en.wikipedia.org/wiki/i_kissed_a_girl
cluster-2541	who starred dumbledore in harry potter the order of the phoenix?	https://en.wikipedia.org/wiki/michael_gambon
cluster-1928	what school did gerogia o'keeffe go to?	https://en.wikipedia.org/wiki/school_of_the_art_institute_of_chicago
cluster-2248	what years in the 1990's did the cowboys win the superbowl?	1993
cluster-1704	what is the largest desert in the middle east?	https://en.wikipedia.org/wiki/arabian_desert
cluster-3640	where did cyndi lauper attend school?	https://en.wikipedia.org/wiki/richmond_hill_high_school_(queens)
cluster-2492	what is eric the reds birthday?	+0950
cluster-307	what is jorden sparks dad's name?	https://en.wikipedia.org/wiki/phillippi_sparks
cluster-3370	what state is the biggest one in the us?	https://en.wikipedia.org/wiki/alaska
cluster-1240	who is the wife of dr martin luther king jr?	https://en.wikipedia.org/wiki/coretta_scott_king
cluster-1923	what is joseph pultizers job?	https://en.wikipedia.org/wiki/publishing
cluster-1638	four largest cities on the nile river?	https://en.wikipedia.org/wiki/khartoum
		https://en.wikipedia.org/wiki/jinja,_uganda
		https://en.wikipedia.org/wiki/juba
		https://en.wikipedia.org/wiki/cairo
cluster-1434	what year was rutherford born?	1871
cluster-2452	when and where was annie oakley born?	1860-08-13
	when did earnest rutherford live?	https://en.wikipedia.org/wiki/willowdell,_ohio
cluster-1604	who is danielle campbell?	https://en.wikipedia.org/wiki/danielle_campbell
cluster-2193	what religion do most isreali follow?	https://en.wikipedia.org/wiki/judaism
cluster-2026	who ran against jfk in the 1960 presidential election and won the 1968 presidential election?	https://en.wikipedia.org/wiki/richard_nixon
cluster-1309	what is the population for madagascar in 2011?	21,680,000
cluster-105	when did henry viii marry his first wife?	1509
cluster-1502	who is in micky mouse club house?	https://en.wikipedia.org/wiki/pete_(disney)
	what are the characters of miceky mouse club house?	https://en.wikipedia.org/wiki/minnie_mouse
	who was on mikey mouse club house?	https://en.wikipedia.org/wiki/daisy_duck
	what year did henry viii have his first wife?	https://en.wikipedia.org/wiki/donald_duck
	when did henry marry his first wife?	https://en.wikipedia.org/wiki/clarabelle_cow
		willie the giant
		https://en.wikipedia.org/wiki/goofy
		https://en.wikipedia.org/wiki/mickey_mouse
		https://en.wikipedia.org/wiki/pluto_(disney)
		https://en.wikipedia.org/wiki/ludwig_von_drake
cluster-3089	who mothered frank lucas children?	julianna farrait
cluster-1523	who are the children of frank lucas?	candace lucas
		tony walters
		betty lucas
		ruby lucas
		francine lucas-sinclair
		ray lucas
		frank lucas jr.
cluster-2228	what did king write in birmingham jail?	https://en.wikipedia.org/wiki/letter_from_birmingham_jail
cluster-3094	who did lady jane grey marry?	https://en.wikipedia.org/wiki/lord_guildford_dudley
cluster-2937	what is the lowest point in the country of norway?	https://en.wikipedia.org/wiki/sea_level
cluster-934	who was marie anotnette married to?	https://en.wikipedia.org/wiki/louis_xvi_of_france
cluster-31	who is ron howard's brother?	https://en.wikipedia.org/wiki/clint_howard
cluster-3347	who is lebrons kid?	https://en.wikipedia.org/wiki/lebron_james
cluster-125	who is micheal jackson older son?	michael joseph jackson jr.
cluster-3294	when was nicki minaj first performance?	
cluster-3137	what language is spoken by the largest number of people in india?	https://en.wikipedia.org/wiki/hindi
cluster-3390	who was the 1st women to climb mount everest?	https://en.wikipedia.org/wiki/junko_tabei
cluster-1686	who won the 2010 f1 championship?	https://en.wikipedia.org/wiki/2010_formula_one_season
cluster-1618	who were among the first settlers in new zealand?	https://en.wikipedia.org/wiki/maori_people
cluster-113	when was alexander graham bell's daughter elsie may born?	1878
cluster-612	in what year was the crucible written?	1952
cluster-2197	what was evonne goolagongs sisters name?	https://en.wikipedia.org/wiki/evonne_goolagong_cawley
cluster-698	who was the first governor of north carolinaq?	https://en.wikipedia.org/wiki/richard_caswell
cluster-3530	name of dave matthews band albums?	https://en.wikipedia.org/wiki/stand_up_(dave_matthews_band_album)
	all of dave mathews band albums?	https://en.wikipedia.org/wiki/before_these_crowded_streets
		https://en.wikipedia.org/wiki/everyday_(dave_matthews_band_album)
		https://en.wikipedia.org/wiki/crash_(dave_matthews_band_album)
		https://en.wikipedia.org/wiki/big_whiskey_%26_the_groogrux_king
		https://en.wikipedia.org/wiki/away_from_the_world
		https://en.wikipedia.org/wiki/under_the_table_and_dreaming
		https://en.wikipedia.org/wiki/busted_stuff
cluster-1112	what is size of russia?	17,100,000,000,000 square meter
cluster-1654	who was the president during the 14th amendment?	https://en.wikipedia.org/wiki/andrew_johnson
cluster-415	what is the second largest city in north dakota?	https://en.wikipedia.org/wiki/bismarck,_north_dakota
cluster-1173	what is chris benoit wifes name?	martina benoit
	what was chris benoits wifes name?	https://en.wikipedia.org/wiki/nancy_benoit
cluster-927	what laws did william taft make?	https://en.wikipedia.org/wiki/william_howard_taft
cluster-239	what church did frank sinatra marry nancy barbato?	https://en.wikipedia.org/wiki/personal_life_of_frank_sinatra
cluster-320	where is annie oakley's home?	https://en.wikipedia.org/wiki/cambridge,_maryland
cluster-1003	what is the dates of terms served in office for andrew johnson?	1865-04-15
	what years of terms did andrew johnson serve?	1869-03-04
cluster-1239	which two continents russia is located on?	https://en.wikipedia.org/wiki/europe
	where is russia located?	https://en.wikipedia.org/wiki/asia
cluster-55	what is the largest country?	https://en.wikipedia.org/wiki/russia
cluster-2093	youngest son of jacob and rachel?	https://en.wikipedia.org/wiki/benjamin
cluster-219	who was the american firs president?	https://en.wikipedia.org/wiki/george_washington
cluster-1864	what ocean borders southeast of kenya?	https://en.wikipedia.org/wiki/indian_ocean
cluster-563	when did kate middleton and prince will get married?	2011-04-29
cluster-710	what year was tiffany thorton born?	1986-02-14
cluster-1710	sta rosa laguna posatl code and city?	4026
cluster-2711	when did brazil get its independence?	https://en.wikipedia.org/wiki/independence_of_brazil
cluster-3132	what are the titles of movies with eric roberts?	https://en.wikipedia.org/wiki/the_dark_knight_(film)
	what movies did eric roberts play in?	https://en.wikipedia.org/wiki/the_expendables_(2010_film)
cluster-198	who is the present day leader of japan?	https://en.wikipedia.org/wiki/akihito
cluster-2232	who was the us forty fifth president?	https://en.wikipedia.org/wiki/donald_trump
cluster-3003	what peninsula contains oslo norway?	https://en.wikipedia.org/wiki/scandinavian_peninsula
cluster-1544	what river forms part of the border of texas and oklahoma?	https://en.wikipedia.org/wiki/red_river_of_the_south
cluster-2186	when was the last time the colorado rockies went to the world series?	https://en.wikipedia.org/wiki/2007_world_series
cluster-2798	what kids did thomas jefferson have that made it to adulthood?	https://en.wikipedia.org/wiki/martha_jefferson_randolph
	which river makes the border between oklahoma and texas?	https://en.wikipedia.org/wiki/mary_jefferson_eppes
cluster-3673	who was the the first african american to win a nobel peace prize?	https://en.wikipedia.org/wiki/ralph_bunche
cluster-3645	who was elected president of the us in 1796?	https://en.wikipedia.org/wiki/john_adams
cluster-2725	what is shirley jackson's occupation?	https://en.wikipedia.org/wiki/novelist
cluster-3737	what bands was bob mould a head of?	https://en.wikipedia.org/wiki/h%c3%bcsker_d%c3%bc
cluster-1448	who was elizabeth taylor's second husband?	https://en.wikipedia.org/wiki/michael_wilding_(actor)
cluster-3145	what college did george hw bush go to?	https://en.wikipedia.org/wiki/yale_university
cluster-1145	what country is bordered by colombia in the north and peru in the south?	https://en.wikipedia.org/wiki/ecuador
cluster-3555	what did fredrick banting do?	https://en.wikipedia.org/wiki/biomedical_scientist
cluster-2669	what 4 movies starred meg ryan and tom hanks?	https://en.wikipedia.org/wiki/ithaca_(film)
	what country is bordered by peru in the south and columbia in the north?	https://en.wikipedia.org/wiki/sleepless_in_seattle
	what country is bordered by columbia on the north and peru on the south?	https://en.wikipedia.org/wiki/joe_versus_the_volcano
		https://en.wikipedia.org/wiki/you%27ve_got_mail
cluster-3088	who was the first governor of india after independence?	https://en.wikipedia.org/wiki/c._rajagopalachari
cluster-2208	what is diggy simmons first song?	https://en.wikipedia.org/wiki/diggy_simmons
cluster-1400	who is julianne hough family?	https://en.wikipedia.org/wiki/derek_hough
cluster-3701	when was the first basketball tournament held?	https://en.wikipedia.org/wiki/1939_ncaa_basketball_tournament
cluster-1311	what was william henry harrison last words?	i understand the true principles of the government. i wish them carried out. i ask nothing more.
cluster-1404	when did harriet tubman get marred to her second husband?	1869-03-18
cluster-3508	who became vice president after the election of 1796?	https://en.wikipedia.org/wiki/thomas_jefferson
cluster-2179	what country in europe touches france directly to the south?	https://en.wikipedia.org/wiki/spain
cluster-3206	which country in asia has the most population in the whole world?	https://en.wikipedia.org/wiki/china
cluster-255	what was bruce willeses first movie?	https://en.wikipedia.org/wiki/blind_date_(1987_film)
cluster-2764	what is the name of james maslows sister?	ali thom
cluster-1974	name 4 universities in florida?	https://en.wikipedia.org/wiki/university_of_central_florida
	what is the first movie bruce willis did?	https://en.wikipedia.org/wiki/university_of_miami
		https://en.wikipedia.org/wiki/florida_state_university
		https://en.wikipedia.org/wiki/university_of_florida
cluster-2517	when was the first micheal myers movie made?	1978
cluster-3152	what bills did woodrow williams pass when he was president?	https://en.wikipedia.org/wiki/federal_farm_loan_act
cluster-897	who won the battle of yorktown in 1781?	https://en.wikipedia.org/wiki/continental_army
cluster-629	what is brittney spears parents name?	https://en.wikipedia.org/wiki/lynne_spears
cluster-3954	who was william tafts brothers and sisters?	https://en.wikipedia.org/wiki/taft_family
cluster-165	when did ernest everett die?	1941-10-27
cluster-3138	what record company did stevie wonder sign with?	https://en.wikipedia.org/wiki/motown
cluster-191	what did clarence thomas do for america?	https://en.wikipedia.org/wiki/associate_justice_of_the_supreme_court_of_the_united_states
cluster-3159	japan third largest and second most important city?	https://en.wikipedia.org/wiki/osaka
cluster-2243	what is the deepest lake in the united state called?	https://en.wikipedia.org/wiki/crater_lake
cluster-2634	who married lady jane grey?	https://en.wikipedia.org/wiki/lord_guildford_dudley
cluster-316	who was the vice president during lincolns first term?	https://en.wikipedia.org/wiki/hannibal_hamlin
cluster-1510	who is the environment and forest minister of india 2009?	https://en.wikipedia.org/wiki/jairam_ramesh
cluster-2869	in mikys mouses club house what is the name of the girl dick?	
cluster-2385	what was anne frank's grandmother's name that died early in the year that she wrote about in her diary?	rosa stern
	what was the name of anne fraks grandmother?	alice betty stern
cluster-583	who did the voice for king juian in penguins of madagascar?	https://en.wikipedia.org/wiki/danny_jacobs_(actor)
cluster-1890	what did anna nicole smith do?	https://en.wikipedia.org/wiki/model_(person)
cluster-1852	what year did napoleon died?	1821
cluster-1074	what is the address of delaware state university?	https://en.wikipedia.org/wiki/dover,_delaware
cluster-1185	metallica first single 1982?	hit the lights
cluster-1192	what is the country with highest population in eu?	https://en.wikipedia.org/wiki/germany
cluster-2442	biggest city in saudi arabia?	https://en.wikipedia.org/wiki/riyadh
cluster-2785	who s the political leader of china?	https://en.wikipedia.org/wiki/xi_jinping
cluster-178	what state borders kansas on the north?	https://en.wikipedia.org/wiki/nebraska
cluster-754	what did chester arthur do before he was president?	https://en.wikipedia.org/wiki/lawyer
cluster-1880	who published jacqueline wilsons books?	https://en.wikipedia.org/wiki/dc_thomson
	what was chester a arthur's occupation before he was elected president?	https://en.wikipedia.org/wiki/doubleday_(publisher)
cluster-3327	what year did the all blacks first play?	1905
cluster-2607	what australian prime minister drowned in 1967?	https://en.wikipedia.org/wiki/harold_holt
cluster-832	what florida prision did ted bundy get caught?	https://en.wikipedia.org/wiki/florida_state_prison
cluster-1201	what is adam sandler's brother name?	scott sandler
cluster-147	what is the name of the largest lake world wide?	https://en.wikipedia.org/wiki/caspian_sea
cluster-1215	country is northern the capital of dakar?	https://en.wikipedia.org/wiki/senegal
cluster-737	where and when was mark dean born?	1957-03-02
		https://en.wikipedia.org/wiki/jefferson_city,_tennessee
cluster-2119	what kinds of languages do they speak in indonesia?	https://en.wikipedia.org/wiki/indonesian_language
cluster-254	who is the second indian to win an oscar?	https://en.wikipedia.org/wiki/satyajit_ray
cluster-3045	what countries were involved in world war 2 first?	https://en.wikipedia.org/wiki/germany
cluster-1423	who are brandon boyd's siblings?	https://en.wikipedia.org/wiki/brandon_boyd
cluster-3108	what was emily bronte moms name?	https://en.wikipedia.org/wiki/maria_branwell
cluster-3232	list of current ministers and portfolio of nigeria?	https://en.wikipedia.org/wiki/muhammadu_buhari
	list of current nigeria ministers and their portfolio?	https://en.wikipedia.org/wiki/ogbonnaya_onu
		https://en.wikipedia.org/wiki/kemi_adeosun
		https://en.wikipedia.org/wiki/kayode_fayemi
		https://en.wikipedia.org/wiki/udoma_udo_udoma
		https://en.wikipedia.org/wiki/babatunde_fashola
		https://en.wikipedia.org/wiki/chris_ngige
		https://en.wikipedia.org/wiki/geoffrey_onyeama
		https://en.wikipedia.org/wiki/okechukwu_enelamah
		https://en.wikipedia.org/wiki/mansur_dan_ali
		https://en.wikipedia.org/wiki/yemi_osinbajo
		https://en.wikipedia.org/wiki/abubakar_malami
cluster-3193	what instrument does lisa simpson play?	https://en.wikipedia.org/wiki/saxophone
cluster-389	when were britney spears kids born?	2005-09-14
	when are britney spears kids birthdays?	2006-09-12
cluster-900	what river flows through brazil?	https://en.wikipedia.org/wiki/amazon_river
cluster-3449	thomas jefferson was the vice president when the president was?	https://en.wikipedia.org/wiki/john_adams
cluster-1934	where did ella fitzgerlad go to high school?	benjamin franklin junior high school
	where did ella fitzgerlad go to school?	https://en.wikipedia.org/wiki/new_york_training_school_for_girls
cluster-126	what teams has mike bibby play for?	https://en.wikipedia.org/wiki/miami_heat
		https://en.wikipedia.org/wiki/sacramento_kings
		https://en.wikipedia.org/wiki/atlanta_hawks
		https://en.wikipedia.org/wiki/washington_wizards
		https://en.wikipedia.org/wiki/vancouver_grizzlies
		https://en.wikipedia.org/wiki/new_york_knicks
cluster-3515	who was the first president to retire after 2 terms?	https://en.wikipedia.org/wiki/george_washington
cluster-412	when did mozart made the song eine kleine nachtmusik?	1787
cluster-588	when are mariah carey and nick cannon going 2 get married?	2008-04-30
cluster-769	who is obama married to?	https://en.wikipedia.org/wiki/michelle_obama
cluster-2594	what is the largest of the aegean and eastern mediterranean islands?	https://en.wikipedia.org/wiki/crete
cluster-1865	what is the name of kendall schmidts brother?	kenneth schmidt
cluster-1157	what is jason derulo race?	https://en.wikipedia.org/wiki/haitians
cluster-3360	what did lincoln die of?	https://en.wikipedia.org/wiki/assassination
cluster-3430	who was nebraska's first heisman trophy winner?	https://en.wikipedia.org/wiki/johnny_rodgers
cluster-610	what are the names jacob and leah's sons?	https://en.wikipedia.org/wiki/levi
	who are leah's sons?	https://en.wikipedia.org/wiki/zebulun
	what were the sons of leah?	https://en.wikipedia.org/wiki/issachar
cluster-3873	who are logan and louis compared to kesha?	
cluster-210	what language do people from america speak?	https://en.wikipedia.org/wiki/spanish_language
	what languages do they speak in usa?	https://en.wikipedia.org/wiki/english_language
cluster-1440	what country has the largest land area in the eastern hemisphere?	https://en.wikipedia.org/wiki/russia
cluster-2031	what age are britney spears sons?	11 years
	what is the age's of britney spears kids?	10 years
cluster-2418	where does mariah carey come from?	https://en.wikipedia.org/wiki/huntington,_new_york
cluster-2792	who was the very first us presidents wife?	https://en.wikipedia.org/wiki/martha_washington
cluster-433	in what movies has eric roberts appeared?	https://en.wikipedia.org/wiki/eric_roberts
cluster-1737	what was steven spielbergs first oscar for director?	https://en.wikipedia.org/wiki/schindler%27s_list
cluster-2495	what awards did emily bronte win?	https://en.wikipedia.org/wiki/emily_bront%c3%ab
cluster-2759	what year kobe won championships?	https://en.wikipedia.org/wiki/kobe_bryant
cluster-3580	what movies has anthony hopkins appeared in?	https://en.wikipedia.org/wiki/juggernaut_(1974_film)
		https://en.wikipedia.org/wiki/the_lion_in_winter_(1968_film)
		https://en.wikipedia.org/wiki/hamlet_(1969_film)
		https://en.wikipedia.org/wiki/when_eight_bells_toll_(film)
		https://en.wikipedia.org/wiki/young_winston
		https://en.wikipedia.org/wiki/the_looking_glass_war_(film)
		https://en.wikipedia.org/wiki/the_white_bus
cluster-672	lyndon johnson vice president?	https://en.wikipedia.org/wiki/hubert_humphrey
cluster-1896	what was the date where thomas becket got killed?	1170-12-29
cluster-3247	what religion is taylor handley?	
cluster-1910	who is the first actor to play james bond in the movie series?	https://en.wikipedia.org/wiki/sean_connery
cluster-2657	where did robert burns live before he died?	https://en.wikipedia.org/wiki/dumfries
cluster-503	who was the french leader in exile during world war 2?	https://en.wikipedia.org/wiki/charles_de_gaulle
cluster-1632	what is trey songz first songs name?	https://en.wikipedia.org/wiki/gotta_make_it
cluster-445	which secondary school did alexandra burke go to?	https://en.wikipedia.org/wiki/elizabeth_garrett_anderson_school
cluster-3891	who did lady jane grey get married?	https://en.wikipedia.org/wiki/lord_guildford_dudley
cluster-1800	what is the language that people in poland speak?	https://en.wikipedia.org/wiki/polish_language
cluster-2807	who was elected as the second president of texas?	https://en.wikipedia.org/wiki/sam_houston
cluster-2719	what is the longest river in guinea africa?	https://en.wikipedia.org/wiki/niger_river
cluster-2488	who was a lady governor of india?	https://en.wikipedia.org/wiki/sarojini_naidu
cluster-1749	where was jhonny wilkinson born?	https://en.wikipedia.org/wiki/frimley
cluster-855	what are the best selling albums of 2006?	https://en.wikipedia.org/wiki/futuresex/lovesounds
		https://en.wikipedia.org/wiki/high_school_musical_(soundtrack)
cluster-1099	what is ronnie dunns wife named?	janine dunn
cluster-884	what is ghanas' major religions?	https://en.wikipedia.org/wiki/christianity
cluster-746	what are the most popular rivers in maine?	https://en.wikipedia.org/wiki/st._croix_river_(maine%e2%80%93new_brunswick)
	what are some important rivers in maine?	https://en.wikipedia.org/wiki/penobscot_river
	what are the names of some popular rivers in maine?	https://en.wikipedia.org/wiki/saint_john_river_(bay_of_fundy)
cluster-3498	what do the carpathian mountains run through?	https://en.wikipedia.org/wiki/romania
		https://en.wikipedia.org/wiki/slovakia
